,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,variant,taxonomy,note,short_ref,pmid_or_doi,citation
432,Beta vulgaris,beta_vulgaris_kin_hermida_carrera,1,0,False,10.8,1.2,2,0.3,101,2,,,,,,,,0.185,0.124,0.261,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
433,Beta vulgarisssp.vulgaris,vulgaris_vulgaris_kin_orr,1,0,False,17,0.9,3.8,0.1,97.8,1.8,401,41,0.916,0.712,1.15,,,0.223,0.2,0.252,0.00228,0.00203,0.00259,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
434,Brassica oleracea,brassica_oleracea_kin_hermida_carrera,1,0,False,11.8,0.1,2.1,0.3,96.2,1.3,,,,,,,,0.178,0.128,0.228,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
435,Bromus anomalus,anomalus_kin_orr,1,0,False,16.9,3.1,2.9,0.2,101,3.2,494,206,0.835,0.139,1.79,,,0.171,0.122,0.271,0.00169,0.00119,0.0027,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
436,Calamagrostis arundinacea,arundinacea_kin_orr,1,0,False,22.7,1.3,4.1,0.1,104,1.6,614,84,1.07,0.767,1.39,,,0.181,0.16,0.205,0.00174,0.00154,0.00198,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
437,Calamagrostis canescens,cal_canescens_kin_orr,1,0,False,15.2,2.2,2.5,0.1,98.5,2.6,594,226,0.996,0.238,1.93,,,0.164,0.126,0.231,0.00167,0.00127,0.00236,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
438,Calamagrostis foliosa,foliosa_kin_orr,1,0,False,20.9,1.1,3.5,0.1,105,1.4,330,26,0.527,0.432,0.636,,,0.168,0.15,0.189,0.0016,0.00142,0.00181,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
439,Calamagrostis inexpansa,inexpansa_kin_orr,1,0,False,18.8,1.7,3.3,0.1,111,1.3,608,139,0.965,0.515,1.48,,,0.176,0.147,0.215,0.00159,0.00133,0.00194,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
440,Calamagrostis nutkaensis,nutkaensis_kin_orr,1,0,False,20.1,2.8,3.1,0.1,109,1.2,601,205,0.845,0.268,1.58,,,0.154,0.12,0.213,0.00142,0.0011,0.00196,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
441,Capsicum annuum,annuum_kin_hermida_carrera,1,0,False,9.6,0.3,1.9,0.1,96,4.5,,,,,,,,0.198,0.175,0.222,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
442,Chenopodium murale,murale_kin_orr,1,0,False,23.8,3.1,4.4,0.2,109,0.8,354,53,0.6,0.392,0.898,,,0.185,0.145,0.251,0.0017,0.00133,0.0023,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
443,Chenopodium petiolare,petiolare_kin_orr,1,0,False,25.6,2,4.4,0.1,98.5,2.6,589,101,1.02,0.667,1.45,,,0.172,0.148,0.204,0.00174,0.00149,0.00209,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
444,Chenopodium rubrum,rubrum_kin_orr,1,0,False,14.5,1.3,4.1,0.1,97.8,1,346,37,1,0.751,1.32,,,0.283,0.239,0.344,0.00289,0.00244,0.00352,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
445,Chrysanthellum indicum var. afroamericanum,indicum_var_afroamericanum_kin_orr,1,0,False,28.1,2.3,4.7,0.1,82.4,0.6,598,100,1.21,0.792,1.7,,,0.167,0.143,0.199,0.00203,0.00174,0.00242,,,25,8,1,B,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
446,Citrullus ecirrhosus,ecirrhosus_kin_orr,1,0,False,18.9,3,3.1,0.2,99.9,1.5,544,203,0.894,0.234,1.78,,,0.164,0.122,0.243,0.00164,0.00121,0.00243,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
447,Citrullus lanatus var. lanatus,lanatus_var_lanatus_kin_orr,1,0,False,19.4,1.2,2.5,0.1,107,2.4,510,36,0.615,0.497,0.748,,,0.129,0.112,0.149,0.00121,0.00104,0.0014,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
448,Coffee arabica,arabica_kin_hermida_carrera,1,0,False,11,0.4,2.1,0.2,98.7,3.8,,,,,,,,0.191,0.154,0.231,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
449,Cucurbita maxima,maxima_kin_hermida_carrera,1,0,False,9,0.5,2.2,0.2,98.4,0.4,,,,,,,,0.244,0.196,0.299,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
450,Deschampsia danthonioides,danthonioides_kin_orr,1,0,False,22.3,1.4,4.5,0.1,108,1.6,580,82,1.08,0.767,1.44,,,0.202,0.179,0.232,0.00187,0.00165,0.00215,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
451,Desmodium cinereum,cinereum_kin_orr,1,0,False,12.8,1,3,0.1,97.5,2,403,39,0.967,0.744,1.24,,,0.234,0.2,0.279,0.0024,0.00204,0.00287,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
452,Desmodium intortum,intortum_kin_orr,1,0,False,14.2,1.7,3.3,0.1,98.7,1.9,394,52,0.926,0.638,1.33,,,0.232,0.187,0.308,0.00236,0.00188,0.00313,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
453,Desmodium psilocarpum,psilocarpum_kin_orr,1,0,False,15.6,0.9,3.6,0.1,95.9,1.7,452,55,1.09,0.807,1.4,,,0.231,0.204,0.263,0.00241,0.00212,0.00276,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
454,Elymus farctus,farctus_kin_orr,1,0,False,19.5,2.7,3.3,0.1,106,1.3,300,84,0.477,0.208,0.822,,,0.169,0.132,0.232,0.0016,0.00124,0.00218,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
455,Eragrostis tef,tef_kin_orr,1,0,False,34.9,2.1,7.1,0.2,89,2.1,640,68,1.46,1.13,1.85,,,0.204,0.18,0.233,0.00229,0.002,0.00264,,,25,8,1,B,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
456,Erythrina flabelliformis,flabelliformis_kin_orr,1,0,False,18.4,1.9,3.6,0.1,96.4,1.9,665,185,1.34,0.596,2.21,,,0.196,0.161,0.248,0.00203,0.00167,0.00258,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
457,Euphorbia helioscopia,helioscopia_kin_orr,1,0,False,11.5,1.7,1.9,0.1,96.8,1.9,453,82,0.77,0.462,1.23,,,0.165,0.125,0.235,0.0017,0.00129,0.00242,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
458,Euphorbia microsphaera,microsphaera_kin_orr,1,0,False,25.8,2.7,4.5,0.2,99.7,0.7,546,124,0.954,0.516,1.47,,,0.174,0.141,0.221,0.00175,0.00142,0.00223,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
459,Festuca gigantea,gigantea_kin_orr,1,0,False,31.2,1.6,5.1,0.1,108,2.4,595,67,0.898,0.683,1.14,,,0.163,0.147,0.182,0.00151,0.00135,0.0017,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
460,Festuca pratensis,pratensis_kin_orr,1,0,False,23.1,2.5,5.1,0.2,106,1.1,686,89,1.44,1,2.02,,,0.221,0.178,0.283,0.00209,0.00169,0.00268,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
461,Flueggea suffruticosa,suffruticosa_kin_orr,1,0,False,19.2,1.5,3.4,0.1,101,1.5,547,97,0.958,0.621,1.36,,,0.177,0.152,0.212,0.00176,0.0015,0.00211,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
462,Foeniculum vulgare,vulgare_kin_orr,1,0,False,20.7,2.7,4.4,0.2,94.3,2.7,512,124,1.15,0.574,1.91,,,0.213,0.167,0.29,0.00226,0.00175,0.00308,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
463,Glycine canescens,glycine_canescens_kin_orr,1,0,False,17.2,0.9,2.6,0,97.1,1.7,587,1.6,0.914,0.821,1.03,,,0.151,0.137,0.168,0.00156,0.0014,0.00175,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
464,Glycine max,max_kin_hermida_carrera,1,0,False,8.6,0.2,1.5,0.1,97,1.1,,,,,,,,0.174,0.151,0.199,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
465,Glycine max,max_kin_orr,1,0,False,13.2,2.4,2.5,0.1,99.6,0.5,660,193,1.24,0.507,2.37,,,0.189,0.139,0.293,0.0019,0.00139,0.00294,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
466,Hordeum brachyantherum,brachyantherum_kin_orr,1,0,False,16.2,1.5,2.9,0.1,101,2,371,59,0.655,0.431,0.928,,,0.179,0.149,0.222,0.00177,0.00147,0.0022,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
467,Hordeum murinum,murinum_kin_orr,1,0,False,21.5,1.1,4.2,0.1,100,1.1,511,55,0.996,0.765,1.24,,,0.195,0.176,0.22,0.00195,0.00175,0.00219,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
468,Hordeum vulgare ssp. vulgare cv. Morex,vulgare_hermida_carrera,1,0,False,9,0.6,2.4,0.2,99.2,3.8,,,,,,,,0.267,0.214,0.328,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
469,Ipomoea batatas,batatas_kin_hermida_carrera,1,0,False,12,0.7,2.5,0.1,98.5,6.6,,,,,,,,0.208,0.182,0.24,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
470,Lablab purpureus,purpureus_kin_orr,1,0,False,21.7,1.6,5.3,0.1,91.1,1.7,556,50,1.49,1.17,1.87,,,0.244,0.212,0.287,0.00268,0.00232,0.00317,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
471,Lactua sativa,lactua_sativa,1,0,False,11.1,0.3,2.2,0.1,94,1.9,,,,,,,,0.198,0.178,0.219,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
472,Lepidium campestre,campestre_kin_orr,1,0,False,15.8,1,3.4,0.1,92.8,1.2,336,36,0.777,0.595,0.99,,,0.215,0.189,0.248,0.00232,0.00203,0.00268,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
473,Lolium multiflorum,multiflorum_kin_orr,1,0,False,29.1,2.1,4.5,0.1,99.9,1.8,740,115,1.14,0.774,1.55,,,0.154,0.135,0.18,0.00155,0.00134,0.00181,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
474,Lolium rigidum,rigidum_kin_orr,1,0,False,25,1.7,4.7,0.1,100,1.4,520,68,0.973,0.704,1.28,,,0.188,0.164,0.219,0.00187,0.00163,0.00218,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
475,Macrotyloma uniflorum,uniflorum_kin_orr,1,0,False,25.2,3.3,4.4,0.2,101,2.4,519,72,0.894,0.6,1.32,,,0.174,0.136,0.237,0.00173,0.00134,0.00234,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
476,Manihot esculenta,esculenta_kin_hermida_carrera,1,0,False,6.1,0.2,1.4,0.1,101,0.9,,,,,,,,0.229,0.195,0.267,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
477,Manihot esculenta,esculenta_kin_orr,1,0,False,15,1.4,2.4,0.1,105,1.8,566,78,0.858,0.594,1.19,,,0.16,0.132,0.198,0.00152,0.00125,0.00188,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
478,Medicago sativa,medicago_sativa_kin_hermida_carrera,1,0,False,9.7,1.6,1.7,0.1,95.6,2.2,,,,,,,,0.175,0.129,0.263,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
479,Mercurialis annua,annua_kin_orr,1,0,False,17,3.7,3.4,0.2,95.7,2.7,417,101,0.871,0.405,1.75,,,0.201,0.137,0.355,0.0021,0.00143,0.00373,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
